filename,width,height,class,xmin,ymin,xmax,ymax
db1.jpg,2272,1704,object,1105,919,1315,1127
db1.jpg,2272,1704,object,1005,1271,1166,1363
db1.jpg,2272,1704,object,600,1365,745,1494
db1.jpg,2272,1704,object,945,1370,1123,1508
db1.jpg,2272,1704,object,1536,1432,1898,1522
db1.jpg,2272,1704,object,763,1374,933,1497
db1.jpg,2272,1704,object,465,252,611,355
db1.jpg,2272,1704,object,450,1350,587,1490
db1.jpg,2272,1704,object,629,230,743,350
db1.jpg,2272,1704,object,1566,547,1873,605
db1.jpg,2272,1704,object,6,1550,145,1704
db1.jpg,2272,1704,object,151,1545,288,1704
db1.jpg,2272,1704,object,291,1552,472,1704
db1.jpg,2272,1704,object,733,1600,863,1704
db1.jpg,2272,1704,object,881,1592,1015,1704
db1.jpg,2272,1704,object,823,1250,991,1365
db1.jpg,2272,1704,object,618,561,760,759
db1.jpg,2272,1704,object,1581,612,1898,695
db1.jpg,2272,1704,object,1412,524,1551,750
db1.jpg,2272,1704,object,333,245,451,350
db1.jpg,2272,1704,object,191,1242,398,1469
db1.jpg,2272,1704,object,1587,697,1906,761
db1.jpg,2272,1704,object,1541,442,1845,541
db1.jpg,2272,1704,object,387,927,671,1112
db1.jpg,2272,1704,object,933,621,1085,766
db1.jpg,2272,1704,object,1325,932,1491,1137
db1.jpg,2272,1704,object,1252,505,1398,761
db1.jpg,2272,1704,object,778,646,924,763
db1.jpg,2272,1704,object,977,971,1098,1102
db1.jpg,2272,1704,object,742,172,887,339
db1.jpg,2272,1704,object,463,545,619,763
db1.jpg,2272,1704,object,1516,899,1762,1140
db1.jpg,2272,1704,object,1091,592,1239,766
db1.jpg,2272,1704,object,763,1014,939,1121
db2.jpg,2272,1704,object,1601,557,1946,680
db2.jpg,2272,1704,object,1057,887,1193,1043
db2.jpg,2272,1704,object,1001,540,1173,680
db2.jpg,2272,1704,object,601,1102,753,1327
db2.jpg,2272,1704,object,1180,138,1373,287
db2.jpg,2272,1704,object,816,535,1003,677
db2.jpg,2272,1704,object,763,126,1023,297
db2.jpg,2272,1704,object,1366,79,1557,277
db2.jpg,2272,1704,object,1551,1128,1798,1257
db2.jpg,2272,1704,object,386,111,738,297
db2.jpg,2272,1704,object,161,1107,306,1309
db2.jpg,2272,1704,object,676,532,813,670
db2.jpg,2272,1704,object,184,730,343,1002
db2.jpg,2272,1704,object,1344,895,1498,1050
db2.jpg,2272,1704,object,303,1115,431,1310
db2.jpg,2272,1704,object,1492,887,1648,1049
db2.jpg,2272,1704,object,1013,114,1149,297
db2.jpg,2272,1704,object,1192,892,1338,1043
db2.jpg,2272,1704,object,273,367,503,654
db2.jpg,2272,1704,object,1576,21,1926,290
db2.jpg,2272,1704,object,1121,1137,1261,1351
db2.jpg,2272,1704,object,756,1130,863,1347
db2.jpg,2272,1704,object,1230,1441,1493,1517
db2.jpg,2272,1704,object,21,732,186,994
db2.jpg,2272,1704,object,1568,367,1921,452
db2.jpg,2272,1704,object,893,437,1058,535
db2.jpg,2272,1704,object,1063,435,1231,537
db2.jpg,2272,1704,object,913,772,1053,1030
db2.jpg,2272,1704,object,866,1125,981,1341
db2.jpg,2272,1704,object,951,1432,1221,1520
db2.jpg,2272,1704,object,422,1097,606,1321
db2.jpg,2272,1704,object,673,1414,941,1500
db2.jpg,2272,1704,object,679,1504,953,1620
db2.jpg,2272,1704,object,944,1521,1218,1637
